Wall time,Step,Value
1575100940.901522,1,2.9210286140441895
1575100961.506844,2,2.8133978843688965
1575100988.101654,3,3.1506600379943848
1575101013.829027,4,3.1289923191070557
1575101021.962772,5,-1.0
1575101044.803688,6,3.1932594776153564
1575101071.994171,7,2.8830409049987793
1575101096.466733,8,3.5854318141937256
1575101128.96631,9,3.8407528400421143
1575101156.834009,10,3.186840772628784
1575101178.894553,11,2.010833740234375
1575101200.624569,12,1.978873610496521
1575101231.173797,13,3.49387264251709
1575101253.805405,14,2.8266568183898926
1575101285.316614,15,3.928128480911255
1575101314.664454,16,3.526097536087036
1575101349.105459,17,4.226430416107178
1575101381.708408,18,4.542684555053711
1575101407.049515,19,2.953853130340576
1575101431.019939,20,2.742561101913452
1575101456.004419,21,2.964878559112549
1575101484.591997,22,3.32289457321167
1575101514.82142,23,3.2491281032562256
1575101544.915007,24,3.7381067276000977
1575101569.895434,25,2.053584575653076
1575101593.609098,26,2.8506112098693848
1575101623.500782,27,2.9947566986083984
1575101647.699969,28,3.2665345668792725
1575101676.924429,29,3.453946590423584
1575101703.561162,30,2.9782819747924805
1575101734.260466,31,3.133798599243164
1575101740.567061,32,-1.0
1575101770.469114,33,2.9586198329925537
1575101794.639599,34,2.9766929149627686
1575101825.858357,35,3.0889830589294434
1575101853.03791,36,3.07003116607666
1575101885.684824,37,3.55098295211792
1575101909.602644,38,2.667389392852783
1575101939.369796,39,3.4707753658294678
1575101963.012463,40,2.9840469360351562
1575101995.26989,41,3.687657594680786
1575102017.627492,42,3.095571279525757
1575102048.510178,43,3.328446865081787
1575102074.691756,44,3.199833869934082
1575102103.410666,45,2.9372682571411133
1575102124.825677,46,2.8159849643707275
1575102134.375839,47,-1.0
1575102163.939302,48,3.7957358360290527
1575102195.994452,49,2.9156582355499268
1575102217.929075,50,2.093771457672119
1575102245.21068,51,2.8953921794891357
1575102271.026363,52,2.5604894161224365
1575102308.560495,53,4.226100921630859
1575102335.228884,54,2.9231884479522705
1575102362.17544,55,3.245126485824585
1575102386.348371,56,2.8929901123046875
1575102417.621793,57,3.152031421661377
1575102440.791323,58,2.716404676437378
1575102449.220121,59,-1.0
1575102474.111246,60,2.916712522506714
1575102508.911891,61,3.952180862426758
1575102527.868718,62,2.5812323093414307
1575102557.526509,63,2.9741902351379395
1575102579.855607,64,2.99871826171875
1575102604.696922,65,2.5110912322998047
1575102623.993672,66,2.645242214202881
1575102649.289397,67,3.228989601135254
1575102672.688953,68,2.1772537231445312
1575102698.612983,69,2.6149425506591797
1575102726.284791,70,3.189286708831787
1575102754.394626,71,3.4392173290252686
1575102786.857181,72,4.211796283721924
1575102816.975394,73,3.5029356479644775
1575102839.530497,74,2.380441904067993
1575102867.1599,75,2.9320878982543945
1575102892.865609,76,2.5311434268951416
1575102924.252293,77,3.667954683303833
1575102948.16782,78,2.8171825408935547
1575102983.486332,79,3.8716273307800293
1575103011.946771,80,2.927220344543457
1575103039.417681,81,2.6255667209625244
1575103063.449861,82,2.507554769515991
1575103086.495005,83,2.1746034622192383
1575103092.730633,84,-1.0
1575103120.70315,85,3.201751232147217
1575103142.947856,86,2.3378682136535645
1575103172.31162,87,3.238738775253296
1575103202.279757,88,3.475472927093506
1575103234.987867,89,3.2795987129211426
1575103265.725329,90,3.4765355587005615
1575103292.655098,91,2.9402363300323486
1575103320.750783,92,3.2804055213928223
1575103352.438694,93,3.251809597015381
1575103373.610714,94,2.333223819732666
1575103411.098667,95,3.939204216003418
1575103437.957397,96,3.3055074214935303
1575103463.352624,97,2.835711717605591
1575103489.674248,98,3.287022590637207
1575103517.165876,99,3.170440196990967
1575103545.163958,100,2.8227620124816895
1575103573.845105,101,2.774287700653076
1575103599.352767,102,2.7623353004455566
1575103623.752997,103,2.4207839965820312
1575103650.404709,104,3.689866781234741
1575103678.828134,105,2.8729476928710938
1575103707.588395,106,4.022189140319824
1575103732.479327,107,2.55961012840271
1575103754.996628,108,2.687206745147705
1575103789.094421,109,3.6513352394104004
1575103810.117311,110,2.2829160690307617
1575103842.321707,111,3.3736023902893066
1575103869.566093,112,2.837981700897217
1575103901.248303,113,3.0599868297576904
1575103929.986521,114,3.8160529136657715
1575103956.026945,115,2.8284871578216553
1575103986.83088,116,3.418823003768921
1575104012.197249,117,2.130953073501587
1575104037.949279,118,3.38569712638855
1575104071.042278,119,3.5294857025146484
1575104096.876501,120,3.138230800628662
1575104106.335694,121,-1.0
1575104135.094793,122,3.4018375873565674
1575104165.289802,123,3.373152494430542
1575104194.30156,124,3.31473445892334
1575104219.045648,125,2.4765336513519287
1575104246.538528,126,3.1838555335998535
1575104272.288527,127,3.230926513671875
1575104295.345639,128,2.4548139572143555
1575104329.09215,129,3.805375814437866
