Wall time,Step,Value
1574971359.201172,1,1.5915786027908325
1574971381.493492,2,1.5544590950012207
1574971404.154331,3,1.929272174835205
1574971424.537115,4,1.6241859197616577
1574971446.418345,5,1.4108494520187378
1574971467.390372,6,2.108876943588257
1574971489.80628,7,1.1917214393615723
1574971511.930095,8,1.3446686267852783
1574971530.153143,9,1.319074034690857
1574971553.449595,10,1.4888181686401367
1574971575.790773,11,1.1912028789520264
1574971598.491261,12,1.6966485977172852
1574971626.186259,13,1.3407151699066162
1574971648.231887,14,1.6067522764205933
1574971670.500623,15,1.8572746515274048
1574971692.307016,16,1.5352036952972412
1574971715.120007,17,1.839865803718567
1574971737.10449,18,1.5702261924743652
1574971760.046201,19,1.1261907815933228
1574971781.665246,20,1.2231872081756592
1574971805.0171,21,1.824918508529663
1574971820.443797,22,0.5912718176841736
1574971845.120531,23,1.6397758722305298
1574971862.214662,24,0.9460552334785461
1574971883.067937,25,1.4823271036148071
1574971904.337885,26,1.8897565603256226
1574971927.448537,27,1.2458364963531494
1574971949.35083,28,1.6794285774230957
1574971972.305628,29,1.6326223611831665
1574971994.595621,30,1.366673231124878
1574972012.90142,31,1.8009486198425293
1574972034.303726,32,1.5485960245132446
1574972055.977845,33,1.5995029211044312
1574972080.387966,34,1.4860788583755493
1574972104.211117,35,1.6151365041732788
1574972126.300368,36,1.699491262435913
1574972152.466905,37,1.7239456176757812
1574972174.779952,38,1.4908342361450195
1574972195.766047,39,1.9284363985061646
1574972218.702608,40,1.324421763420105
1574972241.118216,41,1.8004180192947388
1574972261.876495,42,1.7093415260314941
1574972277.207009,43,0.6577411890029907
1574972298.483011,44,1.84739351272583
1574972324.537855,45,1.4905481338500977
1574972340.625134,46,1.4432592391967773
1574972365.072134,47,1.875617504119873
1574972383.377207,48,1.2855644226074219
1574972407.868158,49,1.5570728778839111
1574972427.717142,50,1.3694016933441162
1574972451.58289,51,1.8221505880355835
1574972475.597977,52,1.4103965759277344
1574972501.396029,53,1.4858589172363281
1574972522.243706,54,1.096331000328064
1574972544.160865,55,1.9840296506881714
1574972564.401846,56,1.6170216798782349
1574972589.912387,57,1.503959059715271
1574972610.475727,58,1.7229923009872437
1574972634.642747,59,1.7430827617645264
1574972654.070742,60,1.141251802444458
1574972678.693767,61,1.6784669160842896
1574972699.653223,62,1.6810286045074463
1574972723.434585,63,1.434554100036621
1574972744.249738,64,1.6570813655853271
1574972760.779223,65,0.923625648021698
1574972781.663083,66,1.832356572151184
1574972805.273506,67,1.451026439666748
1574972828.717757,68,1.5448353290557861
1574972853.590395,69,1.632591962814331
1574972876.193375,70,1.6922178268432617
1574972884.368694,71,-1.0
1574972907.113072,72,1.6282740831375122
1574972923.319012,73,0.728094220161438
1574972944.975515,74,1.7838306427001953
1574972966.604917,75,1.2632896900177002
1574972989.104944,76,1.4909669160842896
1574973014.200373,77,1.4605404138565063
1574973032.523722,78,1.6041823625564575
1574973052.642937,79,1.5594006776809692
1574973076.616061,80,1.4899652004241943
1574973098.272949,81,1.7294585704803467
1574973119.601372,82,1.6951764822006226
1574973141.403474,83,2.115290880203247
1574973156.889416,84,1.3262006044387817
1574973179.219086,85,1.736296534538269
1574973198.21102,86,1.8971270322799683
1574973226.372925,87,1.5118733644485474
1574973248.180255,88,2.0263991355895996
1574973270.81738,89,1.806863784790039
1574973293.766016,90,1.417172908782959
1574973313.192741,91,1.521042823791504
1574973334.55148,92,1.738928198814392
1574973359.87431,93,1.6248371601104736
1574973376.81642,94,1.9007158279418945
1574973398.588458,95,1.3262165784835815
1574973418.312947,96,0.9868317246437073
1574973439.768463,97,1.3240224123001099
1574973462.598966,98,1.6435916423797607
1574973489.831357,99,1.5103442668914795
1574973508.910663,100,1.3335310220718384
1574973534.682003,101,1.6317366361618042
1574973555.646582,102,1.8764160871505737
1574973578.047662,103,1.1576279401779175
1574973604.190707,104,1.3921144008636475
1574973625.890298,105,1.9058501720428467
1574973643.619402,106,1.6069707870483398
1574973664.553108,107,1.8776170015335083
1574973687.060152,108,1.3942811489105225
1574973710.87757,109,1.0785377025604248
1574973735.490248,110,1.5391095876693726
1574973757.855298,111,2.1433920860290527
1574973780.070412,112,1.4825135469436646
1574973805.582392,113,1.922410249710083
1574973831.760914,114,1.427461862564087
1574973858.002941,115,1.3358405828475952
1574973881.815136,116,1.743964433670044
1574973905.805562,117,1.2705615758895874
1574973928.848699,118,1.6382471323013306
1574973955.422476,119,1.6725143194198608
1574973995.370917,120,1.4099187850952148
1574974022.234425,121,1.6245497465133667
1574974043.702552,122,1.8008816242218018
1574974071.392244,123,1.3797521591186523
1574974092.497154,124,1.3472217321395874
1574974114.505313,125,1.5414719581604004
1574974132.288765,126,2.0249531269073486
1574974157.139918,127,1.2811943292617798
1574974174.57362,128,1.976153016090393
1574974197.550914,129,1.1891556978225708
1574974217.488675,130,1.6529393196105957
1574974240.780153,131,1.9197289943695068
1574974261.095481,132,1.784390926361084
1574974289.134222,133,1.485809564590454
1574974310.098103,134,1.7793904542922974
1574974335.38073,135,1.6799460649490356
1574974352.906893,136,1.0652997493743896
1574974375.882687,137,1.2037047147750854
1574974398.682981,138,1.608202576637268
1574974422.313899,139,1.7831305265426636
1574974442.056416,140,1.7332264184951782
1574974462.833714,141,1.6072767972946167
1574974482.677919,142,1.5370475053787231
1574974508.782514,143,1.4774142503738403
1574974529.908415,144,1.2310850620269775
1574974555.211066,145,1.8041743040084839
1574974573.593162,146,1.0593924522399902
1574974593.593771,147,1.180580973625183
1574974613.661224,148,1.7909815311431885
1574974637.81346,149,1.7045973539352417
1574974658.542268,150,1.374374508857727
1574974682.974724,151,1.5850533246994019
1574974702.941001,152,1.0144853591918945
1574974710.94033,153,-1.0
1574974729.02766,154,1.2836759090423584
1574974746.878462,155,1.4892781972885132
1574974768.393865,156,1.7373188734054565
1574974790.563255,157,1.5713729858398438
1574974796.713465,158,-1.0
1574974818.13063,159,1.8735681772232056
1574974840.463875,160,1.6678085327148438
1574974864.688217,161,1.7513991594314575
1574974887.188194,162,1.3966761827468872
1574974909.250426,163,1.0921357870101929
1574974930.739657,164,1.6215964555740356
1574974953.059376,165,1.3953392505645752
1574974974.225982,166,1.711709976196289
1574975000.936426,167,1.5287046432495117
1574975021.242287,168,1.642031192779541
1574975043.457403,169,1.9264503717422485
1574975065.048991,170,1.722050428390503
1574975087.635564,171,1.4813027381896973
1574975107.314934,172,1.8552314043045044
1574975128.660072,173,1.3911325931549072
1574975150.738848,174,1.6032921075820923
1574975172.312627,175,1.9790157079696655
1574975187.784104,176,0.8997242450714111
1574975213.035821,177,1.9119291305541992
1574975241.476332,178,1.3772664070129395
1574975265.366162,179,1.7352914810180664
1574975287.490695,180,1.390628457069397
1574975310.64581,181,1.209812045097351
1574975332.956158,182,1.4135783910751343
1574975356.95976,183,1.391485333442688
1574975376.505075,184,2.0774335861206055
1574975395.131789,185,1.1589058637619019
