Wall time,Step,Value
1575217663.86437,1,0.1801769882440567
1575217677.657478,2,0.19684210419654846
1575217694.216703,3,0.22106194496154785
1575217708.63883,4,0.22460177540779114
1575217725.135984,5,0.21771930158138275
1575217739.78676,6,0.21614034473896027
1575217755.292436,7,0.19649122655391693
1575217763.358008,8,0.09008849412202835
1575217779.006725,9,0.1956140398979187
1575217793.345658,10,0.2148672640323639
1575217809.164401,11,0.22336283326148987
1575217822.70543,12,0.18473684787750244
1575217839.127162,13,0.22315789759159088
1575217851.754879,14,0.18070796132087708
1575217856.855899,15,0.008771929889917374
1575217870.881229,16,0.20707964897155762
1575217886.150295,17,0.1870175451040268
1575217900.510694,18,0.21716813743114471
1575217917.379514,19,0.23716814815998077
1575217930.423522,20,0.18831858038902283
1575217946.266436,21,0.21893805265426636
1575217960.994833,22,0.20947368443012238
1575217976.735307,23,0.19684210419654846
1575217990.697601,24,0.20725663006305695
1575218005.110815,25,0.17964601516723633
1575218016.901298,26,0.16350877285003662
1575218032.88587,27,0.21292035281658173
1575218047.94188,28,0.22333332896232605
1575218063.340948,29,0.20460176467895508
1575218078.456082,30,0.23327434062957764
1575218091.809363,31,0.15805310010910034
1575218106.336682,32,0.2175438553094864
1575218122.619974,33,0.22389380633831024
1575218136.858632,34,0.20973451435565948
1575218153.966809,35,0.23504424095153809
1575218168.097429,36,0.20333333313465118
1575218182.203232,37,0.17115044593811035
1575218196.312552,38,0.22230088710784912
1575218213.116386,39,0.22245614230632782
1575218225.514545,40,0.17911504209041595
1575218238.152518,41,0.14584070444107056
1575218249.913287,42,0.1576991081237793
1575218265.485863,43,0.20442478358745575
1575218280.180806,44,0.20999999344348907
1575218296.845376,45,0.222631573677063
1575218309.093159,46,0.17539823055267334
1575218325.215772,47,0.2194736897945404
1575218339.604003,48,0.21238937973976135
1575218355.346822,49,0.21292035281658173
1575218370.501947,50,0.2408849596977234
1575218385.054987,51,0.18477876484394073
1575218398.09014,52,0.1803508698940277
1575218413.07626,53,0.19646017253398895
1575218427.002113,54,0.20424778759479523
1575218441.716241,55,0.1733333319425583
1575218455.791344,56,0.20530973374843597
1575218470.815306,57,0.19840708374977112
1575218484.960063,58,0.2113274335861206
1575218500.617464,59,0.2155752182006836
1575218512.958853,60,0.16807018220424652
1575218529.012553,61,0.2134513258934021
1575218543.651441,62,0.20859649777412415
1575218559.82381,63,0.20105263590812683
1575218574.877581,64,0.22814159095287323
1575218591.104279,65,0.21017543971538544
1575218604.353169,66,0.19079646468162537
1575218618.406235,67,0.17610619962215424
1575218631.306537,68,0.18053098022937775
1575218647.676906,69,0.21912281215190887
1575218663.03807,70,0.2336283177137375
1575218677.893058,71,0.1844247728586197
1575218692.303751,72,0.19403508305549622
1575218706.99945,73,0.18902654945850372
1575218722.060118,74,0.22070175409317017
1575218736.23102,75,0.16920353472232819
1575218746.962459,76,0.14513275027275085
1575218760.576691,77,0.1649557501077652
1575218775.26374,78,0.2263716757297516
1575218789.168327,79,0.1687719225883484
1575218799.741768,80,0.1375221312046051
1575218816.11843,81,0.2221238911151886
1575218828.929523,82,0.1787610650062561
1575218845.516622,83,0.2164912223815918
1575218858.992457,84,0.18280701339244843
1575218875.054267,85,0.20666666328907013
1575218888.876369,86,0.2092035412788391
1575218906.136485,87,0.24300885200500488
1575218920.289645,88,0.19684210419654846
1575218934.973841,89,0.19274336099624634
1575218949.196709,90,0.21026548743247986
1575218963.015969,91,0.1670796424150467
1575218975.418122,92,0.1766371726989746
1575218988.561643,93,0.15681415796279907
1575218997.694495,94,0.10884955525398254
1575219012.684353,95,0.18973451852798462
1575219025.672607,96,0.1853097379207611
1575219038.975564,97,0.166371688246727
1575219052.990035,98,0.19649122655391693
1575219067.209703,99,0.18973451852798462
1575219078.384577,100,0.13842105865478516
1575219092.863489,101,0.19132743775844574
1575219107.04488,102,0.2092035412788391
1575219123.561265,103,0.22743362188339233
1575219136.553274,104,0.17044247686862946
1575219151.544264,105,0.1854386031627655
1575219164.111846,106,0.17044247686862946
1575219179.326842,107,0.1989380568265915
1575219191.236915,108,0.15823008120059967
1575219207.813998,109,0.21256637573242188
1575219223.818736,110,0.23245614767074585
1575219238.793528,111,0.19433628022670746
1575219251.452892,112,0.1671929806470871
1575219269.564953,113,0.23157894611358643
1575219284.109719,114,0.22336283326148987
1575219299.812846,115,0.20035088062286377
1575219303.454739,116,0.008849557489156723
1575219320.605166,117,0.2322123944759369
1575219334.138187,118,0.18561403453350067
1575219339.206538,119,0.008849557489156723
1575219352.772931,120,0.1846017688512802
1575219370.099916,121,0.224561408162117
1575219384.971095,122,0.21734513342380524
1575219401.458091,123,0.22442477941513062
1575219414.160267,124,0.17274336516857147
1575219430.364177,125,0.20495575666427612
1575219444.89398,126,0.2040707916021347
1575219460.478167,127,0.18824560940265656
1575219474.858761,128,0.1918584108352661
1575219491.7751,129,0.22265486419200897
1575219503.960916,130,0.14315789937973022
1575219521.231556,131,0.21526315808296204
1575219536.900657,132,0.2228318601846695
1575219551.939671,133,0.18477876484394073
1575219564.448396,134,0.16123893857002258
1575219579.702439,135,0.19557522237300873
1575219594.368084,136,0.2134513258934021
1575219610.455741,137,0.19578947126865387
1575219625.213841,138,0.20867256820201874
1575219641.186692,139,0.2054867297410965
1575219657.369934,140,0.23681415617465973
1575219673.219628,141,0.20070797204971313
1575219685.646052,142,0.16477875411510468
1575219703.603701,143,0.2504424750804901
1575219718.882251,144,0.22920353710651398
1575219731.739159,145,0.15451326966285706
1575219744.158972,146,0.17132742702960968
1575219760.550769,147,0.21575221419334412
1575219775.928939,148,0.22122806310653687
1575219790.031917,149,0.16743363440036774
1575219803.448583,150,0.19150441884994507
1575219818.526735,151,0.1895575225353241
1575219833.559489,152,0.2092982530593872
1575219849.337532,153,0.20867256820201874
1575219863.88983,154,0.214159294962883
1575219880.142038,155,0.22123894095420837
1575219892.97705,156,0.17185840010643005
1575219907.098825,157,0.17964601516723633
1575219920.043179,158,0.17561402916908264
1575219933.865694,159,0.16654866933822632
1575219948.549763,160,0.19543859362602234
1575219963.466706,161,0.19628319144248962
1575219976.862203,162,0.18991149961948395
1575219991.290803,163,0.18424779176712036
1575220003.936948,164,0.1853097379207611
1575220021.139922,165,0.2312280684709549
1575220037.071635,166,0.23052631318569183
1575220052.208332,167,0.20654867589473724
1575220055.986125,168,0.008849557489156723
1575220073.11549,169,0.23681415617465973
1575220088.56066,170,0.24283185601234436
1575220103.267305,171,0.18283185362815857
1575220116.871561,172,0.2003539800643921
1575220129.930544,173,0.16176991164684296
1575220142.200486,174,0.16407079994678497
1575220157.49392,175,0.19115044176578522
1575220161.211888,176,0.008849557489156723
1575220177.089387,177,0.2235398292541504
1575220192.57477,178,0.2266666740179062
1575220204.724886,179,0.12491228431463242
1575220217.908075,180,0.18513274192810059
1575220232.726693,181,0.1846017688512802
1575220247.652636,182,0.21280701458454132
1575220260.038323,183,0.14743362367153168
1575220274.112917,184,0.2106194645166397
1575220287.700796,185,0.16371680796146393
1575220299.922801,186,0.17451328039169312
1575220316.780508,187,0.2170175462961197
1575220328.717059,188,0.17415928840637207
1575220344.806742,189,0.21044248342514038
1575220348.545279,190,0.008849557489156723
1575220363.055475,191,0.1801769882440567
1575220377.327532,192,0.21893805265426636
1575220393.836743,193,0.22849556803703308
1575220405.882273,194,0.15982301533222198
1575220418.342504,195,0.1447787582874298
1575220430.761207,196,0.1677876114845276
1575220447.229241,197,0.22707964479923248
1575220463.016367,198,0.23000000417232513
1575220479.801805,199,0.2300885021686554
1575220494.814716,200,0.22088494896888733
1575220510.548697,201,0.19087719917297363
1575220525.109445,202,0.21185840666294098
1575220540.642871,203,0.19876106083393097
1575220554.084707,204,0.1895575225353241
1575220568.626798,205,0.18778760731220245
1575220581.500836,206,0.1766371726989746
1575220592.820427,207,0.1224561408162117
1575220608.142748,208,0.21684210002422333
1575220623.698019,209,0.20955751836299896
1575220638.881109,210,0.22736841440200806
1575220654.283409,211,0.1945614069700241
1575220664.574558,212,0.12548673152923584
1575220678.31815,213,0.17132742702960968
1575220690.492065,214,0.16513274610042572
1575220704.32708,215,0.15823008120059967
